job_id,product,line,current_stage,status,progress,due,started_at,last_updated,completed_at
JOB-1024,Rectangular duct,Line 1,Beading,WIP,66%,Today 14:00,08:05,10:22,
JOB-1025,Spiral duct,Line 2,Rolling,WIP,48%,Today 16:30,08:30,10:23,
JOB-1026,Rectangular duct,Line 1,Seaming,WIP,80%,Tomorrow 09:00,09:05,10:19,
JOB-1027,Custom bracket,Line 3,Punching,WIP,30%,Tomorrow 13:00,09:20,10:16,
JOB-1028,Spiral duct,Line 2,Beading,WIP,55%,Tomorrow 15:30,09:15,10:21,
JOB-1029,Custom panel,Line 3,Cutting,WIP,20%,Tomorrow 16:00,07:30,10:24,
JOB-1030,Rectangular duct,Line 1,Lock forming,WIP,41%,Today 15:30,08:10,10:20,
JOB-1031,Round duct,Line 2,Plate bending,WIP,37%,Tomorrow 11:00,08:45,10:17,
JOB-1020,Rectangular duct,Line 1,Complete,Complete,100%,,07:10,09:15,Today 09:15
JOB-1021,Spiral duct,Line 2,Complete,Complete,100%,,07:20,08:40,Today 08:40
JOB-1022,Custom part,Line 3,Complete,Complete,100%,,07:30,08:10,Today 08:10
